ProductId,title,group,total_review_count,average_rating
34,"Southern By the Grace of God: Lynyrd Skynyrd Tribute Tour, Vol. 1",Music,6,4
42,Pixote,DVD,24,4.5
49,Murder She Wrote,Music,0,0
59,None But the Lonely Heart,Video,5,4
80,In Quest of God: The Saga of an Extraordinary Pilgrimage,Book,1,5
81,The Doors,Video,167,4
133,Bloomfield Blues,Music,1,4
147,"The New Jewish Wedding, Revised",Book,18,4.5
149,Pot O' Gold/Made for Each Other,DVD,0,0
190,Bob Dylan - MTV Unplugged,Video,19,4
246,One More Night,Music,5,5
252,The Köln Concert,Music,82,4.5
254,Electra Glide in Blue,Video,20,4
274,Ernest Hemingway Audio Collection CD,Book,1,2
287,Going To God'S House (First Bible Collection),Book,2,5
294,No Limits,Music,0,0
326,Up The Agency : The Funny Business Of Advertising,Book,4,4
353,Motown Party,Music,2,5
363,Danzig II: Lucifuge,Music,22,5
364,Undisputed Attitude,Music,29,4
366,Danzig III: How the Gods Kill,Music,10,4.5
370,Fresh Meat,Music,3,4
376,The Dance,Music,145,4.5
377,Live at the BBC,Music,9,4.5
379,Evita: Music From The Motion Picture,Music,132,4.5
401,Cobra: Original Motion Picture Soundtrack (1986 Film),Music,3,5
403,When Seconds Count,Music,0,0
411,Christmas at Boots' Place,Music,2,5
439,Narrative of the Life of Frederick Douglass (Dover Thrift Editions),Book,62,4.5
450,The Exorcist,Book,179,4.5
456,Made in Japan,Music,16,4
457,Make Yourself,Music,545,4.5
458,The Gift of Game,Music,142,3.5
459,Make Yourself,Music,545,4.5
460,The Gift of Game [Clean],Music,9,3.5
468,Awake and Breathe,Music,68,4
470,Music Bank,Music,42,4.5
475,Teachers' Messages for Report Cards: English-Spanish Edition,Book,2,5
480,Gunfighter Ballads & Trail Songs,Music,42,5
485,Stand By Your Man (Exp),Music,4,5
486,Stardust,Music,46,4.5
499,Great Expectations,Video,143,4
502,Dreaming Southern,Book,28,3
507,"Live at the Hollywood Palladium (December 15, 1988)",Music,10,3.5
513,Balance of the Force,Music,6,5
517,Sacred Steel Live!,Music,7,5
524,Chet Baker Quartet Featuring Russ Freeman,Music,4,5
538,Ultimate New Wave Party 1998,Music,10,4.5
561,I Wish I Had a Red Dress,Book,78,4
567,"Spinning Fantasies: Rabbis, Gender, and History (Contraversions, 9)",Book,1,5
581,The First Day,Music,3,4.5
584,Kenton in Hi-Fi,Music,11,4.5
588,Capitol Years,Music,9,5
590,Sarah Sings Soulfully,Music,5,5
593,The Best of Ronnie Laws,Music,4,4.5
594,Nat King Cole Trio: Instrumental Classics,Music,4,5
596,Buster's Diaries : The True Story of a Dog and His Man,Book,7,4.5
599,Masada,Music,3,4.5
600,American Patriot,Music,55,4.5
606,Countdown to Extinction,Music,138,4.5
607,Everyones Sleepy,Book,1,5
622,So Tonight That I Might See,Music,79,4.5
646,On a Starry Night,Music,34,5
692,Deluxe Edition,Music,6,5
723,"Buenas Noches, Luna",Book,15,4.5
